PO Number,PO Date,Estimation Date,GRN,GRN Date,Netsuit GRN,Netsuit GRN Date,Payment Aging,Stock Aging,SO Number,SO Date,Sales Person,GDN,GDN Date,Warehouse,Brand,Conversion,Model Line,Model Description,Variant,Variant Details,VIN
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,123,0000-00-00,Sharjeel Arif,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
88877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 123,Variant 123,variant detail 123,
77894,2023-07-29,,1,2023-07-20,,,,,,,,,,Supplier,BMW,,Continental GT,Continental GT Model Description,v1,Detail,513
77894,2023-07-29,,5,2023-08-01,,,,,,,,,,Showroom 128,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,ABC
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,E F G
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
77894,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,3242342342
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,va12
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,va1221
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,
55877,2023-07-29,2023-08-31,,,,,,,,,,,,Supplier,BENTLEY,,Bentayga,model description 456,variant 456,variant detail 456,513
